32-2-10-1 Ἐγὼ
32-2-10-2 δὲ
32-2-10-3 μετὰ
32-2-10-4 φωνῆς
32-2-10-5 αἰνέσεως
32-2-10-6 καὶ
32-2-10-7 ἐξομολογήσεως
32-2-10-8 θύσω
32-2-10-9 σοι,
32-2-10-10 ὅσα
32-2-10-11 ηὐξάμην
32-2-10-12 ἀποδώσω·
32-2-10-13 εἰς
32-2-10-14 σωτήρίον
32-2-10-15 μου
32-2-10-16 τῷ
32-2-10-17 Κυρίῳ.
32-2-11-1 Καὶ
32-2-11-2 προσετάγη
32-2-11-3 τῷ
32-2-11-4 κήτει,
32-2-11-5 καὶ
32-2-11-6 ἐξέβαλεν
32-2-11-7 τὸν
32-2-11-8 Ἰωνᾶν
32-2-11-9 ἐπὶ
32-2-11-10 τὴν
32-2-11-11 ξηράν.
32-3-1-1 Καὶ
32-3-1-2 ἐγένετο
32-3-1-3 λόγος
32-3-1-4 Κυρίου
32-3-1-5 πρὸς
32-3-1-6 Ἰωνᾶν
32-3-1-7 ἐκ
32-3-1-8 δευτέρου,
32-3-1-9 λέγων·
32-3-2-1 ἀνάστηθι
32-3-2-2 καὶ
32-3-2-3 πορεύθητι
32-3-2-4 εἰς
32-3-2-5 Νινευὴ
32-3-2-6 τὴν
32-3-2-7 πόλιν
32-3-2-8 τὴν
32-3-2-9 μεγάλην,
32-3-2-10 καὶ
32-3-2-11 κήρυξον
32-3-2-12 ἐν
32-3-2-13 αὐτῇ
32-3-2-14 κατὰ
32-3-2-15 τὸ
32-3-2-16 κήρυγμα
32-3-2-17 τὸ
32-3-2-18 ἔμπροσθεν,
32-3-2-19 ὃ
32-3-2-20 ἐγὼ
32-3-2-21 ἐλάλησα
32-3-2-22 πρὸς
32-3-2-23 σέ.
32-3-3-1 Καὶ
32-3-3-2 ἀνέστη
32-3-3-3 Ἰωνᾶς,
32-3-3-4 καὶ
32-3-3-5 ἐπορεύθη
32-3-3-6 εἰς
32-3-3-7 Νινευή,
32-3-3-8 καθὼς
32-3-3-9 ἐλάλησεν
32-3-3-10 Κύριος·
32-3-3-11 ἡ
32-3-3-12 δὲ
32-3-3-13 Νινευὴ
32-3-3-14 ἦν
32-3-3-15 πόλις
32-3-3-16 μεγάλη
32-3-3-17 τῷ
32-3-3-18 θεῷ,
32-3-3-19 ὡσεὶ
32-3-3-20 πορείας
32-3-3-21 ὁδοῦ
32-3-3-22 ἡμερῶν
32-3-3-23 τριῶν.
32-3-4-1 Καὶ
32-3-4-2 ἤρξατο
32-3-4-3 Ἰωνᾶς
32-3-4-4 τοῦ
32-3-4-5 εἰσπορεύεσθαι
32-3-4-6 εἰς
32-3-4-7 τὴν
32-3-4-8 πόλιν,
32-3-4-9 ὡσεὶ
32-3-4-10 πορείας
32-3-4-11 ὁδοῦ
32-3-4-12 ἡμέρας
32-3-4-13 μιᾶς,
32-3-4-14 καὶ
32-3-4-15 ἐκήρυξεν,
32-3-4-16 καὶ
32-3-4-17 εἶπεν·
32-3-4-18 ἔτι
32-3-4-19 τρεῖς
32-3-4-20 ἡμέραι,
32-3-4-21 καὶ
32-3-4-22 Νινευὴ
32-3-4-23 καταστραφήσεται.
32-3-5-1 Καὶ
32-3-5-2 ἐπίστευσαν
32-3-5-3 οἱ
32-3-5-4 ἄνδρες
32-3-5-5 Νινευὴ
32-3-5-6 τῷ
32-3-5-7 θεῷ,
32-3-5-8 καὶ
32-3-5-9 ἐκήρυξαν
32-3-5-10 νηστείαν,
32-3-5-11 καὶ
32-3-5-12 ἐνεδύσαντο
32-3-5-13 σάκκους
32-3-5-14 ἀπὸ
32-3-5-15 μικροῦ
32-3-5-16 ἔως
32-3-5-17 μεγάλου
32-3-5-18 αὐτῶν.
32-3-6-1 Καὶ
32-3-6-2 ἤγγισεν
32-3-6-3 ὁ
