08-1-16-27 λαός
08-1-16-28 μου,
08-1-16-29 καὶ
08-1-16-30 ὁ
08-1-16-31 θεός
08-1-16-32 σου,
08-1-16-33 θεός
08-1-16-34 μου·
08-1-17-1 Καὶ
08-1-17-2 οὗ
08-1-17-3 ἐὰν
08-1-17-4 ἀποθάνῃς,
08-1-17-5 ἀποθανοῦμαι,
08-1-17-6 κᾀκεῖ
08-1-17-7 ταφήσομαι·
08-1-17-8 τάδε
08-1-17-9 ποιήσαι
08-1-17-10 Κύριός
08-1-17-11 μοι,
08-1-17-12 καὶ
08-1-17-13 τάδε
08-1-17-14 προσθείη,
08-1-17-15 ὅτι
08-1-17-16 θάνατος
08-1-17-17 διαστελεῖ
08-1-17-18 ἀνὰμέσον
08-1-17-19 ἐμοῦ
08-1-17-20 καὶ
08-1-17-21 σοῦ.
08-1-18-1 Ἰδοῦσα
08-1-18-2 δὲ
08-1-18-3 Νοομμεὶν
08-1-18-4 ὅτι
08-1-18-5 κραταιοῦται
08-1-18-6 αὐτὴ
08-1-18-7 τοῦ
08-1-18-8 πορεύεσθαι
08-1-18-9 μετ’
08-1-18-10 αὐτῆς,
08-1-18-11 ἐκόπασεν
08-1-18-12 τοῦ
08-1-18-13 λαλῆσαι
08-1-18-14 πρὸς
08-1-18-15 αὐτὴν
08-1-18-16 ἔτι.
08-1-19-1 Ἐπορεύθησαν
08-1-19-2 δὲ
08-1-19-3 ἀμφότεραι,
08-1-19-4 ἕως
08-1-19-5 τοῦ
08-1-19-6 παραγενέσθαι
08-1-19-7 αὐτὰς
08-1-19-8 εἰς
08-1-19-9 Βαιθλέεμ.
08-1-19-10 Καὶ
08-1-19-11 ἐγένετο
08-1-19-12 ἐν
08-1-19-13 τῷ
08-1-19-14 ελθεῖν
08-1-19-15 αὐτὰς
08-1-19-16 εἰς
08-1-19-17 Βαιθλεὲμ,
08-1-19-18 καὶ
08-1-19-19 ἤχησεν
08-1-19-20 πᾶσα
08-1-19-21 ἡ
08-1-19-22 πόλις
08-1-19-23 ἐπ’
08-1-19-24 αὐταῖς,
08-1-19-25 καὶ
08-1-19-26 εἶπον·
08-1-19-27 αὕτη
08-1-19-28 τὶ
08-1-19-29 ἐστὶν
08-1-19-30 Νοομμείν;
08-1-20-1 Καὶ
08-1-20-2 εἶπεν
08-1-20-3 πρὸς
08-1-20-4 αὐτάς·
08-1-20-5 μὴ
08-1-20-6 καλεῖτέ
08-1-20-7 με
08-1-20-8 Νοομμείν·
08-1-20-9 καλέσατέ
08-1-20-10 με
08-1-20-11 πικρίαν,
08-1-20-12 ὅτι
08-1-20-13 ἐπικράνθη
08-1-20-14 ἐν
08-1-20-15 ἐμοὶ
08-1-20-16 ὁ
08-1-20-17 ἱκανὸς
08-1-20-18 σφόδρα.
08-1-21-1 Ἐγὼ
08-1-21-2 πλήρης
08-1-21-3 ἐπορεύθην,
08-1-21-4 καὶ
08-1-21-5 κενὴν
08-1-21-6 ἀπέστρεψέν
08-1-21-7 με
08-1-21-8 ὁ
08-1-21-9 Κύριος·
08-1-21-10 καὶ
08-1-21-11 ἵνατί
08-1-21-12 καλεῖτέ
08-1-21-13 με
08-1-21-14 Νοομμεὶν,
08-1-21-15 καὶ
08-1-21-16 Κύριος
08-1-21-17 ἐταπείνωσέν
08-1-21-18 με,
08-1-21-19 καὶ
08-1-21-20 ὁ
08-1-21-21 ἰκανὸς
